,Unnamed: 0,time,discharge,time_diff,discharge_cmm,discharge_vol,cum_discharge_vol,time_min
1496,1496,11283.2760364,4.41197661217,10.9704479,264.71859673,48.4013595598,176617.748077,188
1502,1502,11349.3949117,4.29259399729,11.0547537,257.555639837,47.4535693741,176904.808166,189
1507,1507,11404.8749008,4.1983314965,11.1232915,251.89988979,46.6992650492,177139.799971,190
1512,1512,11460.6931111,4.10894653929,11.1903497,246.536792357,45.9805486733,177371.127952,191
1518,1518,11528.1112996,4.00698431025,11.268959,240.419058615,45.1545419058,177644.094561,192
1523,1523,11584.6487129,3.92609565962,11.332991,235.565739577,44.4944067756,177867.876299,193
1528,1528,11641.502437,3.84911865788,11.3957473,230.947119473,43.8635835529,178088.446012,194
1534,1534,11710.1356884,3.7609286045,11.4694434,225.65571627,43.1357577608,178349.058393,195
1539,1539,11767.6637518,3.69067505548,11.5295739,221.440503329,42.551910793,178562.977011,196
1544,1544,11825.4891172,3.62361698803,11.5885942,217.417019282,41.9926268105,178774.05063,197
1549,1549,11883.6063655,3.55894055144,11.646548,213.536433086,41.4493719615,178982.376339,198
1554,1554,11942.0103214,3.49710058588,11.7034875,209.826035153,40.9282729931,179188.05272,199
1559,1559,12000.6960355,3.4373275321,11.7594532,206.239651926,40.4210922468,179391.165728,200
