,t,model_h0,dt
554,5523.06346973,0.343220256415,9.54228054538
555,5532.60221508,0.343474174238,9.53874535729
556,5542.13743397,0.343727748289,9.53521888363
557,5551.66913505,0.343980979752,9.53170108475
558,5561.19732697,0.344233869801,9.52819192124
559,5570.72201833,0.344486419607,9.52469135397
560,5580.24321767,0.344738630332,9.52119934406
561,5589.76093352,0.344990503133,9.51771585288
562,5599.27517437,0.34524203916,9.51424084206
563,5608.78594864,0.345493239557,9.51077427349
564,5618.29326475,0.345744105461,9.5073161093
565,5627.79713106,0.345994638005,9.50386631187
566,5637.2975559,0.346244838314,9.50042484383
567,5646.79454757,0.346494707507,9.49699166803
568,5656.28811432,0.346744246697,9.49356674759
569,5665.77826437,0.346993456991,9.49015004587
570,5675.26500589,0.347242339491,9.48674152643
571,5684.74834705,0.347490895293,9.48334115311
572,5694.22829594,0.347739125485,9.47994888996
573,5703.70486064,0.347987031152,9.47656470125
574,5713.17804919,0.348234613371,9.47318855152
575,5722.64786959,0.348481873215,9.46982040548
576,5732.11432982,0.348728811749,9.46646022812
577,5741.57743781,0.348975430036,9.46310798461
578,5751.03720145,0.349221729129,9.45976364037
579,5760.49362861,0.349467710079,9.45642716104
580,5769.94672712,0.349713373929,9.45309851245
581,5779.39650478,0.349958721719,9.44977766068
582,5788.84296935,0.350203754481,9.44646457199
583,5798.28612857,0.350448473243,9.44315921289
584,5807.72599012,0.350692879027,9.43986155007
585,5817.16256167,0.35093697285,9.43657155044
586,5826.59585085,0.351180755725,9.43328918113
587,5836.02586526,0.351424228657,9.43001440945
588,5845.45261246,0.351667392647,9.42674720292
589,5854.87609999,0.351910248692,9.42348752929
590,5864.29633535,0.352152797783,9.42023535648
591,5873.713326,0.352395040904,9.41699065262
592,5883.12707938,0.352636979038,9.41375338604
593,5892.53760291,0.352878613159,9.41052352524
594,5901.94490395,0.353119944238,9.40730103896
595,5911.34898984,0.353360973241,9.40408589611
596,5920.74986791,0.353601701128,9.40087806576
597,5930.14754543,0.353842128856,9.39767751723
598,5939.54202965,0.354082257374,9.39448421998
599,5948.93332779,0.35432208763,9.39129814368
600,5958.32144705,0.354561620565,9.38811925817
601,5967.70639458,0.354800857115,9.38494753349
602,5977.08817752,0.355039798211,9.38178293985
603,5986.46680297,0.355278444782,9.37862544763
604,5995.842278,0.355516797749,9.37547502743
605,6005.21460965,0.355754858031,9.37233164998
606,6014.58380493,0.35599262654,9.3691952862
607,6023.94987084,0.356230104185,9.36606590722
608,6033.31281433,0.356467291871,9.36294348429
609,6042.67264231,0.356704190496,9.35982798886
610,6052.02936171,0.356940800956,9.35671939256
611,6061.38297937,0.357177124142,9.35361766716
612,6070.73350216,0.35741316094,9.35052278463
613,6080.08093688,0.357648912231,9.34743471709
614,6089.42529031,0.357884378894,9.34435343682
615,6098.76656923,0.358119561801,9.34127891627
616,6108.10478036,0.358354461821,9.33821112807
617,6117.4399304,0.35858907982,9.33515004498
618,6126.77202604,0.358823416656,9.33209563994
619,6136.10107393,0.359057473187,9.32904788605
620,6145.42708068,0.359291250264,9.32600675656
621,6154.75005291,0.359524748736,9.32297222488
622,6164.06999717,0.359757969445,9.31994426457
623,6173.38692002,0.359990913232,9.31692284937
624,6182.70082798,0.360223580932,9.31390795313
625,6192.01172753,0.360455973377,9.31089954989
626,6201.31962514,0.360688091394,9.30789761382
627,6210.62452726,0.360919935806,9.30490211924
628,6219.9264403,0.361151507433,9.30191304063
629,6229.22537065,0.36138280709,9.29893035262
630,6238.52132468,0.36161383559,9.29595402996
631,6247.81430873,0.36184459374,9.29298404757
632,6257.10432911,0.362075082344,9.29002038051
633,6266.39139212,0.362305302202,9.28706300398
634,6275.67550401,0.36253525411,9.28411189332
635,6284.95667103,0.362764938861,9.28116702401
636,6294.2348994,0.362994357243,9.27822837167
637,6303.51019532,0.363223510042,9.27529591207
638,6312.78256494,0.363452398038,9.2723696211
639,6322.05201441,0.36368102201,9.2694494748
640,6331.31854986,0.363909382731,9.26653544934
641,6340.58217738,0.364137480972,9.26362752102
642,6349.84290305,0.364365317499,9.26072566629
643,6359.10073291,0.364592893075,9.25782986171
644,6368.35567299,0.36482020846,9.25494008399
645,6377.6077293,0.36504726441,9.25205630997
646,6386.85690782,0.365274061677,9.2491785166
647,6396.1032145,0.36550060101,9.24630668098
648,6405.34665528,0.365726883154,9.24344078033
649,6414.58723607,0.365952908853,9.240580792
650,6423.82496277,0.366178678843,9.23772669346
651,6433.05984123,0.366404193861,9.23487846231
652,6442.29187731,0.366629454638,9.23203607628
653,6451.52107682,0.366854461902,9.2291995132
654,6460.74744557,0.367079216378,9.22636875104
655,6469.97098934,0.367303718789,9.2235437679
656,6479.19171388,0.367527969853,9.22072454199
657,6488.40962493,0.367751970284,9.21791105164
658,6497.62472821,0.367975720795,9.21510327528
659,6506.8370294,0.368199222095,9.2123011915
660,6516.04653418,0.368422474887,9.20950477898
661,6525.25324819,0.368645479876,9.20671401651
662,6534.45717708,0.36886823776,9.20392888301
663,6543.65832643,0.369090749234,9.20114935751
664,6552.85670185,0.369313014991,9.19837541915
665,6562.0523089,0.369535035722,9.1956070472
666,6571.24515312,0.369756812112,9.19284422102
667,6580.43524004,0.369978344844,9.19008692009
668,6589.62257517,0.3701996346,9.18733512401
669,6598.80716398,0.370420682056,9.18458881247
